"SECONDS";"PID";"VALUE";"UNITS"
"65.2227743";"Engine coolant temperature";"84";"℃"
"65.2227743";"Engine RPM";"1556";"rpm"
"65.2227743";"Vehicle speed";"82";"km/h"
"65.2290973";"Calculated instant fuel consumption";"2.98780492257054";"l/100km"
"65.229716";"Vehicle acceleration";"0";"m_sec2"
"65.2352184";"Calculated instant fuel consumption km/l.";"33.4693872563693";"km/l."
"65.747584";"Engine coolant temperature";"84";"℃"
"65.747584";"Engine RPM";"1558";"rpm"
"65.747584";"Vehicle speed";"82";"km/h"
"65.7514653";"Calculated instant fuel consumption";"2.98780492257054";"l/100km"
"65.7516849";"Distance travelled";"0.0118928267222222";"km"
"65.7520319";"Vehicle acceleration";"0";"m_sec2"
"65.7551007";"Calculated instant fuel consumption km/l.";"33.4693872563693";"km/l."
"65.755617";"Distance travelled (total)";"317.484872529528";"km"
"65.7655842";"Average fuel consumption (total)";"99.9962540493261";"l/100km"
"65.7660159";"Distance to empty";"20.5007679486551";"km"
"66.3824622";"Engine coolant temperature";"84";"℃"
"66.3824622";"Engine RPM";"1556";"rpm"
"66.3824622";"Vehicle speed";"82";"km/h"
"66.3869175";"Calculated instant fuel consumption";"2.98780492257054";"l/100km"
"66.3871468";"Distance travelled";"0.0263671660555556";"km"
"66.3875259";"Vehicle acceleration";"0";"m_sec2"
"66.3898332";"Calculated instant fuel consumption km/l.";"33.4693872563693";"km/l."
"66.3902529";"Average speed";"149.564641206075";"km/h"
"66.3904857";"Distance travelled (total)";"317.499346868861";"km"
"66.4005285";"Average fuel consumption (total)";"99.9916953636864";"l/100km"
"66.401169";"Distance to empty";"20.5017025918383";"km"
"66.7755946";"Engine coolant temperature";"84";"℃"
"66.7755946";"Engine RPM";"1559";"rpm"
"66.7755946";"Vehicle speed";"82";"km/h"
"66.7810439";"Calculated instant fuel consumption";"2.98780492257054";"l/100km"
"66.781379";"Distance travelled";"0.035346756";"km"
"66.7823684";"Vehicle acceleration";"0";"m_sec2"
"66.7878556";"Calculated instant fuel consumption km/l.";"33.4693872563693";"km/l."
"66.7883792";"Average speed";"123.21189976374";"km/h"
"66.7886913";"Distance travelled (total)";"317.508326458806";"km"
"66.8029126";"Average fuel consumption (total)";"99.9888674554163";"l/100km"
"66.8034149";"Distance to empty";"20.5022824257317";"km"
"67.5370505";"Engine coolant temperature";"84";"℃"
"67.5370505";"Engine RPM";"1557";"rpm"
"67.5370505";"Vehicle speed";"82";"km/h"
"67.541582";"Calculated instant fuel consumption";"2.98780492257054";"l/100km"
"67.5419174";"Distance travelled";"0.0526700873888889";"km"
"67.5423412";"Vehicle acceleration";"0";"m_sec2"
"67.5448488";"Calculated instant fuel consumption km/l.";"33.4693872563693";"km/l."
"67.5454491";"Average speed";"105.938965351939";"km/h"
"67.5457783";"Distance travelled (total)";"317.525649790195";"km"
"67.5547968";"Average fuel consumption (total)";"99.9834123361613";"l/100km"
"67.555243";"Distance to empty";"20.5034010352392";"km"
"68.1890191";"Engine coolant temperature";"84";"℃"
"68.1890191";"Engine RPM";"1560";"rpm"
"68.1890191";"Vehicle speed";"82";"km/h"
"68.1930213";"Calculated instant fuel consumption";"2.98780492257054";"l/100km"
"68.1932803";"Distance travelled";"0.0675065318888889";"km"
"68.1937096";"Vehicle acceleration";"0";"m_sec2"
"68.1977854";"Calculated instant fuel consumption km/l.";"33.4693872563693";"km/l."
"68.1983282";"Average speed";"99.4914207392111";"km/h"
"68.1985902";"Distance travelled (total)";"317.540486234695";"km"
"68.2090248";"Average fuel consumption (total)";"99.9787408110728";"l/100km"
"68.2098857";"Distance to empty";"20.504359060431";"km"
"68.4414395";"Engine coolant temperature";"84";"℃"
"68.4414395";"Engine RPM";"1558";"rpm"
"68.4414395";"Vehicle speed";"82";"km/h"
"68.4468199";"Calculated instant fuel consumption";"2.98780492257054";"l/100km"
"68.4470882";"Distance travelled";"0.0732875318888889";"km"
"68.4476659";"Vehicle acceleration";"0";"m_sec2"
"68.4516605";"Calculated instant fuel consumption km/l.";"33.4693872563693";"km/l."
"68.4522976";"Average speed";"97.8395158960636";"km/h"
"68.4525909";"Distance travelled (total)";"317.546267234695";"km"
"68.4784115";"Average fuel consumption (total)";"99.9769206759925";"l/100km"
"68.4788686";"Distance to empty";"20.5047323536168";"km"
"69.3428317";"Engine coolant temperature";"84";"℃"
"69.3428317";"Engine RPM";"1556";"rpm"
"69.3428317";"Vehicle speed";"82";"km/h"
"69.3482743";"Calculated instant fuel consumption";"2.98780492257054";"l/100km"
"69.3487926";"Distance travelled";"0.0938262427222222";"km"
"69.3492042";"Vehicle acceleration";"0";"m_sec2"
"69.3526538";"Calculated instant fuel consumption km/l.";"33.4693872563693";"km/l."
"69.3532023";"Average speed";"93.8906360501133";"km/h"
"69.3534687";"Distance travelled (total)";"317.566805945528";"km"
"69.3650531";"Average fuel consumption (total)";"99.9704546441991";"l/100km"
"69.3655656";"Distance to empty";"20.5060585879706";"km"
"69.7655368";"Engine coolant temperature";"84";"℃"
"69.7655368";"Engine RPM";"1558";"rpm"
"69.7655368";"Vehicle speed";"82";"km/h"
"69.7694384";"Calculated instant fuel consumption";"2.98780492257054";"l/100km"
"69.7697111";"Distance travelled";"0.103413730555556";"km"
"69.7701286";"Vehicle acceleration";"0";"m_sec2"
"69.7734636";"Calculated instant fuel consumption km/l.";"33.4693872563693";"km/l."
"69.7741621";"Average speed";"92.6475683988911";"km/h"
"69.774477";"Distance travelled (total)";"317.576393433361";"km"
"69.7970648";"Average fuel consumption (total)";"99.9674365813411";"l/100km"
"69.7976188";"Distance to empty";"20.5066776753044";"km"
"69.839686";"Engine coolant temperature";"84";"℃"
"69.839686";"Engine RPM";"1562";"rpm"
"69.839686";"Vehicle speed";"82";"km/h"
"69.8436598";"Calculated instant fuel consumption";"2.98780492257054";"l/100km"
"69.8440018";"Distance travelled";"0.1051057755";"km"
"69.8444009";"Vehicle acceleration";"0";"m_sec2"
"69.8464182";"Calculated instant fuel consumption km/l.";"33.4693872563693";"km/l."
"69.8469235";"Average speed";"92.484923214552";"km/h"
