"SECONDS";"PID";"VALUE";"UNITS"
"60.7448783";"Engine fuel rate";"1.35000002011657";"l/h"
"60.7448783";"Fuel level input";"43";"l"
"60.7448783";"Vehicle speed";"65";"km/h"
"60.7947119";"Calculated instant fuel consumption";"0";"l/100km"
"60.7985493";"Vehicle acceleration";"0";"m_sec2"
"60.8615405";"Calculated instant fuel rate";"1.35000002011657";"l/h"
"60.8665346";"Instant engine power (based on fuel consumption)";"4.39639206551135";"hp"
"61.4624274";"Engine fuel rate";"1.20000001788139";"l/h"
"61.4624274";"Fuel level input";"43.5";"l"
"61.4624274";"Vehicle speed";"65";"km/h"
"61.4643254";"Calculated instant fuel consumption";"2.07692310787164";"l/100km"
"61.4648032";"Distance travelled";"0.0120634384722222";"km"
"61.4685957";"Vehicle acceleration";"0";"m_sec2"
"61.4701243";"Calculated instant fuel rate";"1.20000001788139";"l/h"
"61.47046";"Calculated instant fuel consumption km/l.";"48.1481474306848";"km/l."
"61.4790094";"Distance travelled (total)";"712.609430561";"km"
"61.4846912";"Fuel used";"0.000205707003065273";"l"
"61.4851504";"Instant engine power (based on fuel consumption)";"3.90790405823231";"hp"
"61.4887234";"Average fuel consumption (total)";"99.9983071458284";"l/100km"
"61.5021069";"Average fuel consumption";"1.70521036385225";"l/100km"
"61.5040098";"Fuel used (total)";"26.6785843122544";"l"
"61.5205518";"Fuel used price";"0.000265362033954202";"€"
"61.5216732";"Distance to empty";"43.5007364040309";"km"
"61.5229751";"Average fuel consumption km/l.";"58.6437908892891";"km/l."
"61.5252413";"Fuel used price (total)";"34.4153737628082";"€"
"62.2107807";"Engine fuel rate";"1.10000001639128";"l/h"
"62.2107807";"Fuel level input";"43.5";"l"
"62.2107807";"Vehicle speed";"64";"km/h"
"62.2126767";"Calculated instant fuel consumption";"1.87500002793968";"l/100km"
"62.212988";"Distance travelled";"0.0253657691388889";"km"
"62.2134659";"Vehicle acceleration";"-0.372942680350978";"m_sec2"
"62.2148137";"Calculated instant fuel rate";"1.10000001639128";"l/h"
"62.2151615";"Calculated instant fuel consumption km/l.";"53.3333325386048";"km/l."
"62.2176515";"Average speed";"123.332539494956";"km/h"
"62.2180769";"Distance travelled (total)";"712.622732891667";"km"
"62.2200047";"Fuel used";"0.000430858061975841";"l"
"62.2203358";"Instant engine power (based on fuel consumption)";"3.58224538671295";"hp"
"62.2235748";"Average fuel consumption (total)";"3.74371783004992";"l/100km"
"62.2239442";"Average fuel consumption";"1.69858071173281";"l/100km"
"62.2242007";"Fuel used (total)";"26.6788094633133";"l"
"62.2244487";"Fuel used price";"0.000555806899948835";"€"
"62.2453005";"Distance to empty";"1161.94654551248";"km"
"62.2459119";"Average fuel consumption km/l.";"58.8726807676891";"km/l."
"62.246808";"Fuel used price (total)";"34.4156642076741";"€"
"63.5573527";"Engine fuel rate";"0.150000002235174";"l/h"
"63.5573527";"Fuel level input";"43.5";"l"
"63.5573527";"Vehicle speed";"64";"km/h"
"63.5592288";"Calculated instant fuel consumption";"1.71875002561137";"l/100km"
"63.5595087";"Distance travelled";"0.0493038260277778";"km"
"63.5599388";"Vehicle acceleration";"0";"m_sec2"
"63.5608999";"Calculated instant fuel rate";"0.150000002235174";"l/h"
"63.5612403";"Calculated instant fuel consumption km/l.";"58.1818173148415";"km/l."
"63.5620555";"Average speed";"85.1333588662429";"km/h"
"63.5623066";"Distance travelled (total)";"712.646670948556";"km"
"63.5634454";"Fuel used";"0.000486834591976623";"l"
"63.563772";"Instant engine power (based on fuel consumption)";"0.488488007279039";"hp"
"63.5661074";"Average fuel consumption (total)";"3.74362367087226";"l/100km"
"63.5677577";"Average fuel consumption";"0.98741747081117";"l/100km"
"63.5680788";"Fuel used (total)";"26.6788654398433";"l"
