"SECONDS";"PID";"VALUE";"UNITS"
"17.3656381";"Average fuel consumption";"0";"l/100km"
"17.3661362";"Instant engine power (based on fuel consumption)";"0";"hp"
"17.3664528";"Calculated instant fuel consumption km/l.";"0";"km/l."
"17.3669858";"Distance travelled (total)";"366.126461016139";"km"
"17.3687127";"Fuel used (total)";"366.126461016139";"l"
"17.370071";"Fuel used price";"366.126461016139";"€"
"17.411206";"Average fuel consumption (total)";"100";"l/100km"
"17.411206";"Average fuel consumption (total)";"100";"l/100km"
"17.4116519";"Fuel used price (total)";"378.774587270002";"€"
"17.4116519";"Fuel used price (total)";"378.774587270002";"€"
"49.9701394";"Engine fuel rate";"0";"l/h"
"49.9701394";"Engine RPM";"1419";"rpm"
"49.9701394";"Vehicle speed";"36";"km/h"
"50.0591158";"Calculated instant fuel consumption";"0";"l/100km"
"50.0619874";"Vehicle acceleration";"0";"m_sec2"
"50.0678805";"Calculated instant fuel rate";"0";"l/h"
"50.0741055";"Instant engine power (based on fuel consumption)";"0";"hp"
"50.1002249";"Engine fuel rate";"0";"l/h"
"50.1002249";"Engine RPM";"1387";"rpm"
"50.1002249";"Vehicle speed";"35";"km/h"
"50.1015468";"Calculated instant fuel consumption";"0";"l/100km"
"50.1017118";"Distance travelled";"0.000397482361111111";"km"
"50.1031739";"Vehicle acceleration";"-6.73612963546761";"m_sec2"
"50.1037349";"Calculated instant fuel rate";"0";"l/h"
"50.1081105";"Distance travelled (total)";"327.618316880695";"km"
"50.1100729";"Fuel used";"0";"l"
"50.1103474";"Instant engine power (based on fuel consumption)";"0";"hp"
"50.1179569";"Average fuel consumption (total)";"99.9998786751715";"l/100km"
"50.1191914";"Average fuel consumption";"0";"l/100km"
"50.1204449";"Fuel used (total)";"8.12042914685938";"l"
"50.1327623";"Fuel used price";"0";"€"
"50.1350192";"Distance to empty";"0";"km"
"50.1425163";"Fuel used price (total)";"10.4753535994486";"€"
"50.2083288";"Engine fuel rate";"0";"l/h"
"50.2083288";"Engine RPM";"1381";"rpm"
"50.2083288";"Vehicle speed";"35";"km/h"
