"SECONDS";"PID";"VALUE";"UNITS"
"97.947059";"Engine fuel rate";"11.7000001743436";"l/h"
"97.947059";"Fuel level input";"32.5";"l"
"97.947059";"Vehicle speed";"126";"km/h"
"97.9800362";"Calculated instant fuel consumption";"0";"l/100km"
"97.9842627";"Vehicle acceleration";"0";"m_sec2"
"98.0561794";"Calculated instant fuel rate";"11.7000001743436";"l/h"
"98.0623097";"Instant engine power (based on fuel consumption)";"38.102064567765";"hp"
"98.0968738";"Engine fuel rate";"11.7500001750886";"l/h"
"98.0968738";"Fuel level input";"32.5";"l"
"98.0968738";"Vehicle speed";"126";"km/h"
"98.0978789";"Calculated instant fuel consumption";"9.28571442408221";"l/100km"
"98.0980928";"Distance travelled";"0.00406504";"km"
"98.0996357";"Vehicle acceleration";"0";"m_sec2"
"98.1002124";"Calculated instant fuel rate";"11.7500001750886";"l/h"
"98.1003419";"Calculated instant fuel consumption km/l.";"10.7692306087567";"km/l."
"98.1060548";"Distance travelled (total)";"2883.22351278844";"km"
"98.1080071";"Fuel used";"0.000150428398074891";"l"
"98.1082267";"Instant engine power (based on fuel consumption)";"38.2648939035247";"hp"
"98.1101304";"Average fuel consumption (total)";"99.9998590105837";"l/100km"
"98.1115031";"Average fuel consumption";"3.70053918472859";"l/100km"
"98.1125324";"Fuel used (total)";"123.105805492293";"l"
"98.1280782";"Fuel used price";"0.00019405263351661";"€"
"98.1333875";"Distance to empty";"32.5000458216249";"km"
"98.1352759";"Average fuel consumption km/l.";"27.0230890710955";"km/l."
"98.1376383";"Fuel used price (total)";"158.806489085058";"€"
"98.2265776";"Engine fuel rate";"11.7500001750886";"l/h"
"98.2265776";"Fuel level input";"32.5";"l"
"98.2265776";"Vehicle speed";"126";"km/h"
"98.2273554";"Calculated instant fuel consumption";"9.32539696435607";"l/100km"
"98.2274844";"Distance travelled";"0.0085945335";"km"
"98.2276366";"Vehicle acceleration";"0";"m_sec2"
"98.2280355";"Calculated instant fuel rate";"11.7500001750886";"l/h"
"98.2281514";"Calculated instant fuel consumption km/l.";"10.723404095528";"km/l."
"98.2285464";"Average speed";"249.034703519772";"km/h"
"98.228687";"Distance travelled (total)";"2883.22804228194";"km"
"98.2292078";"Fuel used";"0.000548148605390273";"l"
"98.2292986";"Instant engine power (based on fuel consumption)";"38.2648939035247";"hp"
"98.2304028";"Average fuel consumption (total)";"4.26972142636558";"l/100km"
"98.2308401";"Average fuel consumption";"6.37787502242295";"l/100km"
"98.2309744";"Fuel used (total)";"123.1062032125";"l"
"98.2310647";"Fuel used price";"0.000707111700953452";"€"
"98.249591";"Distance to empty";"761.173780549525";"km"
"98.2498274";"Average fuel consumption km/l.";"15.6792034413384";"km/l."
"98.2505686";"Fuel used price (total)";"158.807002144126";"€"
"98.3373613";"Engine fuel rate";"11.7500001750886";"l/h"
"98.3373613";"Fuel level input";"32.5";"l"
"98.3373613";"Vehicle speed";"126";"km/h"
"98.3391888";"Calculated instant fuel consumption";"9.32539696435607";"l/100km"
"98.3395132";"Distance travelled";"0.012515279";"km"
"98.3398667";"Vehicle acceleration";"0";"m_sec2"
