"SECONDS";"PID";"VALUE";"UNITS"
"52.4014298";"Absolute pedal position D";"7";"%"
"52.4014298";"Engine fuel rate";"4.70000007003546";"l/h"
"52.4014298";"Engine RPM";"1603";"rpm"
"52.4014298";"Vehicle speed";"102";"km/h"
"52.4060244";"Calculated instant fuel consumption";"0";"l/100km"
"52.4070095";"Vehicle acceleration";"0";"m_sec2"
"52.4102046";"Calculated instant fuel rate";"4.70000007003546";"l/h"
"52.4182663";"Instant engine power (based on fuel consumption)";"15.3059575614099";"hp"
"52.5726341";"Absolute pedal position D";"7";"%"
"52.5726341";"Engine fuel rate";"4.60000006854534";"l/h"
"52.5726341";"Engine RPM";"1604";"rpm"
"52.5726341";"Vehicle speed";"102";"km/h"
"52.5761792";"Calculated instant fuel consumption";"4.60784320591712";"l/100km"
"52.576443";"Distance travelled";"0.00481789633333333";"km"
"52.5767218";"Vehicle acceleration";"0";"m_sec2"
"52.5791517";"Calculated instant fuel rate";"4.60000006854534";"l/h"
"52.5821181";"Calculated instant fuel consumption km/l.";"21.7021273361876";"km/l."
"52.5832385";"Distance travelled (total)";"2052.41236292014";"km"
"52.5842328";"Fuel used";"0.000212078275382435";"l"
"52.5844275";"Instant engine power (based on fuel consumption)";"14.9802988898905";"hp"
"52.5934124";"Average fuel consumption (total)";"99.9997652569035";"l/100km"
"52.5939436";"Average fuel consumption";"4.4018854020403";"l/100km"
"52.5941406";"Fuel used (total)";"85.7148570362218";"l"
"52.5943118";"Fuel used price";"0.000273580975243341";"€"
"52.6044146";"Distance to empty";"15.5000363852654";"km"
"52.6049701";"Average fuel consumption km/l.";"22.7175382515977";"km/l."
"52.6053682";"Fuel used price (total)";"110.572165576726";"€"
"52.7374359";"Absolute pedal position D";"7";"%"
"52.7374359";"Engine fuel rate";"4.45000006631017";"l/h"
"52.7374359";"Engine RPM";"1602";"rpm"
"52.7374359";"Vehicle speed";"102";"km/h"
"52.7409721";"Calculated instant fuel consumption";"4.50980398876994";"l/100km"
"52.7411832";"Distance travelled";"0.009485473";"km"
"52.7414378";"Vehicle acceleration";"0";"m_sec2"
"52.7431913";"Calculated instant fuel rate";"4.45000006631017";"l/h"
"52.7456271";"Calculated instant fuel consumption km/l.";"22.1739127130612";"km/l."
"52.7467544";"Average speed";"208.836569345744";"km/h"
"52.7470114";"Distance travelled (total)";"2052.41703049681";"km"
"52.7478988";"Fuel used";"0.000414380470063639";"l"
"52.7481661";"Instant engine power (based on fuel consumption)";"14.4918108826115";"hp"
"52.7569692";"Average fuel consumption (total)";"4.17628853018598";"l/100km"
"52.7572188";"Average fuel consumption";"4.36857993337432";"l/100km"
"52.7573867";"Fuel used (total)";"85.7150593384165";"l"
"52.7575407";"Fuel used price";"0.000534550806382094";"€"
"52.7699276";"Distance to empty";"371.142939190309";"km"
"52.7703352";"Average fuel consumption km/l.";"22.8907337224248";"km/l."
"52.7705907";"Fuel used price (total)";"110.572426546557";"€"
"52.8223692";"Absolute pedal position D";"7";"%"
"52.8223692";"Engine fuel rate";"4.15000006183982";"l/h"
"52.8223692";"Engine RPM";"1612";"rpm"
"52.8223692";"Vehicle speed";"102";"km/h"
"52.824874";"Calculated instant fuel consumption";"4.36274516304918";"l/100km"
"52.8250218";"Distance travelled";"0.0118608603333333";"km"
"52.8251996";"Vehicle acceleration";"0";"m_sec2"
"52.8264024";"Calculated instant fuel rate";"4.15000006183982";"l/h"
"52.8283399";"Calculated instant fuel consumption km/l.";"22.921347973052";"km/l."
"52.8290868";"Average speed";"173.663221256502";"km/h"
"52.8292238";"Distance travelled (total)";"2052.41940588414";"km"
"52.8299687";"Fuel used";"0.000508983525640001";"l"
"52.830154";"Instant engine power (based on fuel consumption)";"13.5148348680534";"hp"
"52.8377191";"Average fuel consumption (total)";"4.1762935534851";"l/100km"
"52.8379189";"Average fuel consumption";"4.29128673077426";"l/100km"
"52.838055";"Fuel used (total)";"85.715153941472";"l"
"52.8381912";"Fuel used price";"0.000656588748075601";"€"
"52.8534997";"Distance to empty";"371.142492774851";"km"
"52.8538063";"Average fuel consumption km/l.";"23.3030338622834";"km/l."
"52.8540373";"Fuel used price (total)";"110.572548584499";"€"
"52.9537952";"Absolute pedal position D";"7";"%"
"52.9537952";"Engine fuel rate";"3.80000005662441";"l/h"
"52.9537952";"Engine RPM";"1605";"rpm"
"52.9537952";"Vehicle speed";"102";"km/h"
"52.9567838";"Calculated instant fuel consumption";"4.06862751160767";"l/100km"
"52.9569114";"Distance travelled";"0.0155976388333333";"km"
"52.9570856";"Vehicle acceleration";"0";"m_sec2"
"52.958182";"Calculated instant fuel rate";"3.80000005662441";"l/h"
"52.9601963";"Calculated instant fuel consumption km/l.";"24.5783128867666";"km/l."
"52.9608586";"Average speed";"148.694488785319";"km/h"
"52.9609777";"Distance travelled (total)";"2052.42314266264";"km"
"52.9615982";"Fuel used";"0.000647922611043688";"l"
"52.9617181";"Instant engine power (based on fuel consumption)";"12.3750295177356";"hp"
"52.9716227";"Average fuel consumption (total)";"4.1762905591813";"l/100km"
"52.9718308";"Average fuel consumption";"4.15397880388811";"l/100km"
"52.9719485";"Fuel used (total)";"85.7152928805574";"l"
"52.9720683";"Fuel used price";"0.000835820168246358";"€"
"52.9891675";"Distance to empty";"371.142758875439";"km"
"52.9895955";"Average fuel consumption km/l.";"24.0733053106579";"km/l."
"52.9899359";"Fuel used price (total)";"110.572727815919";"€"
"53.0742343";"Absolute pedal position D";"7";"%"
"53.0742343";"Engine fuel rate";"3.65000005438924";"l/h"
"53.0742343";"Engine RPM";"1600";"rpm"
"53.0742343";"Vehicle speed";"102";"km/h"
"53.0765161";"Calculated instant fuel consumption";"3.72549025159256";"l/100km"
"53.0766493";"Distance travelled";"0.0189901503333333";"km"
"53.076822";"Vehicle acceleration";"0";"m_sec2"
"53.0779226";"Calculated instant fuel rate";"3.65000005438924";"l/h"
"53.0802868";"Calculated instant fuel consumption km/l.";"26.8421048631794";"km/l."
"53.0810225";"Average speed";"137.335556216251";"km/h"
"53.081147";"Distance travelled (total)";"2052.42653517414";"km"
"53.081998";"Fuel used";"0.000769991286473764";"l"
"53.0821721";"Instant engine power (based on fuel consumption)";"11.8865415104566";"hp"
"53.090125";"Average fuel consumption (total)";"4.17629042558081";"l/100km"
"53.0903073";"Average fuel consumption";"4.0546876826046";"l/100km"
"53.0904293";"Fuel used (total)";"85.7154149492329";"l"
"53.0905499";"Fuel used price";"0.000993288759551156";"€"
"53.1065844";"Distance to empty";"371.142770748382";"km"
"53.1068815";"Average fuel consumption km/l.";"24.6628119914191";"km/l."
"53.1071022";"Fuel used price (total)";"110.57288528451";"€"
"53.5214063";"Absolute pedal position D";"7";"%"
"53.5214063";"Engine fuel rate";"3.90000005811453";"l/h"
"53.5214063";"Engine RPM";"1605";"rpm"
"53.5214063";"Vehicle speed";"102";"km/h"
"53.5241607";"Calculated instant fuel consumption";"3.5784314258718";"l/100km"
"53.5242895";"Distance travelled";"0.0316731845";"km"
"53.5244609";"Vehicle acceleration";"0";"m_sec2"
"53.5256302";"Calculated instant fuel rate";"3.90000005811453";"l/h"
