"SECONDS";"PID";"VALUE";"UNITS"
"13.3442291";"Engine fuel rate";"1.45000002160668";"l/h"
"13.3442291";"Fuel level input";"22.5";"l"
"13.3442291";"Vehicle speed";"14";"km/h"
"13.3469603";"Calculated instant fuel consumption";"0";"l/100km"
"13.3474757";"Vehicle acceleration";"0";"m_sec2"
"13.3496789";"Calculated instant fuel rate";"1.45000002160668";"l/h"
"13.3575678";"Instant engine power (based on fuel consumption)";"4.72205073703071";"hp"
"13.4719446";"Engine fuel rate";"1.45000002160668";"l/h"
"13.4719446";"Fuel level input";"22.5";"l"
"13.4719446";"Vehicle speed";"14";"km/h"
"13.4743711";"Calculated instant fuel consumption";"10.3571430114763";"l/100km"
"13.4747572";"Distance travelled";"0.000495358111111111";"km"
"13.4752192";"Vehicle acceleration";"0";"m_sec2"
"13.4767042";"Calculated instant fuel rate";"1.45000002160668";"l/h"
"13.4770724";"Calculated instant fuel consumption km/l.";"9.65517226991983";"km/l."
"13.479535";"Distance travelled (total)";"2997.75828878686";"km"
"13.4805559";"Fuel used";"4.95387674048518E-05";"l"
"13.4808168";"Instant engine power (based on fuel consumption)";"4.72205073703071";"hp"
"13.4834954";"Average fuel consumption (total)";"99.9999834757154";"l/100km"
"13.4840378";"Average fuel consumption";"10.0005967993002";"l/100km"
"13.4843358";"Fuel used (total)";"128.003493650372";"l"
"13.484611";"Fuel used price";"6.39050099522588E-05";"€"
"13.5010637";"Distance to empty";"22.5000037179646";"km"
"13.501763";"Average fuel consumption km/l.";"9.99940323631459";"km/l."
"13.5033333";"Fuel used price (total)";"165.124506808979";"€"
"13.6983081";"Engine fuel rate";"1.50000002235174";"l/h"
"13.6983081";"Fuel level input";"22.5";"l"
"13.6983081";"Vehicle speed";"14";"km/h"
"13.7005505";"Calculated instant fuel consumption";"10.3571430114763";"l/100km"
"13.7008908";"Distance travelled";"0.0013747405";"km"
"13.7012625";"Vehicle acceleration";"0";"m_sec2"
"13.7026795";"Calculated instant fuel rate";"1.50000002235174";"l/h"
"13.7030191";"Calculated instant fuel consumption km/l.";"9.65517226991983";"km/l."
"13.7054508";"Average speed";"21.9054999822952";"km/h"
"13.7057461";"Distance travelled (total)";"2997.75916816925";"km"
"13.7067162";"Fuel used";"0.000143770060475674";"l"
"13.7069776";"Instant engine power (based on fuel consumption)";"4.88488007279039";"hp"
"13.7088334";"Average fuel consumption (total)";"4.2699725518159";"l/100km"
"13.7092083";"Average fuel consumption";"10.4579781039166";"l/100km"
"13.709468";"Fuel used (total)";"128.003587881665";"l"
"13.709719";"Fuel used price";"0.00018546337801362";"€"
"13.7101957";"Distance to empty";"526.935471527362";"km"
"13.7105351";"Average fuel consumption km/l.";"9.56207777510538";"km/l."
"13.7116245";"Fuel used price (total)";"165.124628367347";"€"
"13.8307247";"Engine fuel rate";"1.50000002235174";"l/h"
"13.8307247";"Fuel level input";"24.5";"l"
"13.8307247";"Vehicle speed";"14";"km/h"
"13.8319265";"Calculated instant fuel consumption";"10.714285873941";"l/100km"
"13.8320956";"Distance travelled";"0.00188497711111111";"km"
"13.8322722";"Vehicle acceleration";"0";"m_sec2"
"13.8330451";"Calculated instant fuel rate";"1.50000002235174";"l/h"
"13.8332848";"Calculated instant fuel consumption km/l.";"9.33333319425583";"km/l."
"13.8342578";"Average speed";"19.1285700191401";"km/h"
"13.834421";"Distance travelled (total)";"2997.75967840586";"km"
"13.8360416";"Fuel used";"0.000197654727945285";"l"
"13.8361662";"Instant engine power (based on fuel consumption)";"4.88488007279039";"hp"
"13.837175";"Average fuel consumption (total)";"4.26997496843155";"l/100km"
"13.8486574";"Average fuel consumption";"10.4857892851959";"l/100km"
"13.8488931";"Fuel used (total)";"128.003641766332";"l"
"13.8490209";"Fuel used price";"0.000254974599049418";"€"
"13.8492464";"Distance to empty";"573.77385537694";"km"
"13.8500289";"Average fuel consumption km/l.";"9.53671652940634";"km/l."
"13.8508077";"Fuel used price (total)";"165.124697878568";"€"
"13.9541572";"Engine fuel rate";"1.25000001862645";"l/h"
"13.9541572";"Fuel level input";"24.5";"l"
"13.9541572";"Vehicle speed";"14";"km/h"
"13.9566298";"Calculated instant fuel consumption";"10.714285873941";"l/100km"
"13.9569244";"Distance travelled";"0.00237039172222222";"km"
"13.9572924";"Vehicle acceleration";"0";"m_sec2"
"13.9587533";"Calculated instant fuel rate";"1.25000001862645";"l/h"
"13.9600973";"Calculated instant fuel consumption km/l.";"9.33333319425583";"km/l."
"13.9613729";"Average speed";"17.7099023750425";"km/h"
"13.9617113";"Distance travelled (total)";"2997.76016382047";"km"
"13.9636285";"Fuel used";"0.000241953825827615";"l"
"13.9637983";"Instant engine power (based on fuel consumption)";"4.07073339399199";"hp"
"13.9648479";"Average fuel consumption (total)";"4.2699760745102";"l/100km"
"13.9650743";"Average fuel consumption";"10.207335081342";"l/100km"
"13.965206";"Fuel used (total)";"128.00368606543";"l"
"13.9653357";"Fuel used price";"0.000312120435317624";"€"
"13.9655475";"Distance to empty";"573.773706748704";"km"
"13.9657123";"Average fuel consumption km/l.";"9.79687638380662";"km/l."
"13.9663041";"Fuel used price (total)";"165.124755024405";"€"
"14.0909002";"Engine fuel rate";"0.900000013411045";"l/h"
"14.0909002";"Fuel level input";"24.5";"l"
"14.0909002";"Vehicle speed";"15";"km/h"
"14.0932975";"Calculated instant fuel consumption";"8.33333345750968";"l/100km"
"14.0936274";"Distance travelled";"0.00293996255555556";"km"
"14.0939853";"Vehicle acceleration";"2.03214363516356";"m_sec2"
"14.095473";"Calculated instant fuel rate";"0.900000013411045";"l/h"
"14.0965058";"Calculated instant fuel consumption km/l.";"11.9999998211861";"km/l."
"14.0978768";"Average speed";"17.1174921196105";"km/h"
"14.0981506";"Distance travelled (total)";"2997.76073339131";"km"
"14.0990357";"Fuel used";"0.000275804101332024";"l"
"14.0993054";"Instant engine power (based on fuel consumption)";"2.93092804367423";"hp"
"14.1021909";"Average fuel consumption (total)";"4.26997674095964";"l/100km"
"14.1025363";"Average fuel consumption";"9.38121136307825";"l/100km"
"14.1027893";"Fuel used (total)";"128.003719915705";"l"
"14.1030417";"Fuel used price";"0.00035578729071831";"€"
"14.1146349";"Distance to empty";"573.77361719525";"km"
"14.1149218";"Average fuel consumption km/l.";"10.6596041949946";"km/l."
"14.1155934";"Fuel used price (total)";"165.12479869126";"€"
"14.2028877";"Engine fuel rate";"0";"l/h"
"14.2028877";"Fuel level input";"24.5";"l"
"14.2028877";"Vehicle speed";"15";"km/h"
"14.2051406";"Calculated instant fuel consumption";"6.00000008940697";"l/100km"
"14.2059515";"Distance travelled";"0.00340795630555556";"km"
"14.2063132";"Vehicle acceleration";"2.03214363516356";"m_sec2"
"14.2080218";"Calculated instant fuel rate";"0";"l/h"
"14.2090816";"Calculated instant fuel consumption km/l.";"16.666666418314";"km/l."
"14.2103718";"Average speed";"16.7867216981777";"km/h"
"14.2106308";"Distance travelled (total)";"2997.76120138506";"km"
"14.2115703";"Fuel used";"0.000275804101332024";"l"
"14.2118324";"Instant engine power (based on fuel consumption)";"0";"hp"
"14.2149112";"Average fuel consumption (total)";"4.26997720353989";"l/100km"
"14.2152823";"Average fuel consumption";"8.09294710975066";"l/100km"
"14.2155427";"Fuel used (total)";"128.003719915705";"l"
"14.2157993";"Fuel used price";"0.00035578729071831";"€"
"14.2361221";"Distance to empty";"573.773555036524";"km"
"14.2368004";"Average fuel consumption km/l.";"12.3564380989858";"km/l."
"14.2381556";"Fuel used price (total)";"165.12479869126";"€"
"14.3219342";"Engine fuel rate";"0";"l/h"
"14.3219342";"Fuel level input";"24.5";"l"
"14.3219342";"Vehicle speed";"15";"km/h"
"14.3231285";"Calculated instant fuel consumption";"0";"l/100km"
"14.3239375";"Distance travelled";"0.00389956380555556";"km"
"14.3240805";"Vehicle acceleration";"2.03214363516356";"m_sec2"
"14.3246721";"Calculated instant fuel rate";"0";"l/h"
"14.325578";"Average speed";"16.5918488743701";"km/h"
"14.3256671";"Distance travelled (total)";"2997.76169299256";"km"
"14.3259923";"Fuel used";"0.000275804101332024";"l"
"14.3260796";"Instant engine power (based on fuel consumption)";"0";"hp"
"14.3273676";"Average fuel consumption (total)";"4.26997650329983";"l/100km"
"14.3275031";"Average fuel consumption";"7.07269107737374";"l/100km"
"14.3275899";"Fuel used (total)";"128.003719915705";"l"
"14.3276777";"Fuel used price";"0.00035578729071831";"€"
"14.347648";"Distance to empty";"573.773649130538";"km"
"14.3478431";"Average fuel consumption km/l.";"14.1388898378313";"km/l."
"14.3483091";"Fuel used price (total)";"165.12479869126";"€"
"14.4126384";"Engine fuel rate";"0";"l/h"
"14.4126384";"Fuel level input";"24.5";"l"
"14.4126384";"Vehicle speed";"15";"km/h"
"14.4139683";"Calculated instant fuel consumption";"0";"l/100km"
"14.414075";"Distance travelled";"0.00427513630555556";"km"
"14.4142563";"Vehicle acceleration";"2.03214363516356";"m_sec2"
"14.4147871";"Calculated instant fuel rate";"0";"l/h"
"14.415486";"Average speed";"16.4423752117997";"km/h"
"14.4155705";"Distance travelled (total)";"2997.76206856506";"km"
"14.4163409";"Fuel used";"0.000275804101332024";"l"
"14.4164582";"Instant engine power (based on fuel consumption)";"0";"hp"
"14.4167088";"Average fuel consumption (total)";"4.26997596833885";"l/100km"
"14.4169334";"Average fuel consumption";"6.45135222878426";"l/100km"
"14.4170222";"Fuel used (total)";"128.003719915705";"l"
"14.417109";"Fuel used price";"0.00035578729071831";"€"
"14.4172449";"Distance to empty";"573.773721015373";"km"
"14.4173548";"Average fuel consumption km/l.";"15.500626295651";"km/l."
"14.417747";"Fuel used price (total)";"165.12479869126";"€"
"14.4899233";"Engine fuel rate";"0";"l/h"
"14.4899233";"Fuel level input";"24.5";"l"
"14.4899233";"Vehicle speed";"15";"km/h"
"14.4911729";"Calculated instant fuel consumption";"0";"l/100km"
"14.4912957";"Distance travelled";"0.00459687130555556";"km"
"14.4914439";"Vehicle acceleration";"0";"m_sec2"
"14.4919977";"Calculated instant fuel rate";"0";"l/h"
"14.4924866";"Average speed";"16.3359769363806";"km/h"
"14.4925716";"Distance travelled (total)";"2997.76239030006";"km"
"14.4928813";"Fuel used";"0.000275804101332024";"l"
"14.4929666";"Instant engine power (based on fuel consumption)";"0";"hp"
"14.4936663";"Average fuel consumption (total)";"4.26997551006346";"l/100km"
"14.4937887";"Average fuel consumption";"5.99982211811543";"l/100km"
"14.4938734";"Fuel used (total)";"128.003719915705";"l"
"14.4939616";"Fuel used price";"0.00035578729071831";"€"
"14.4940991";"Distance to empty";"573.773782595673";"km"
"14.4942074";"Average fuel consumption km/l.";"16.6671607976622";"km/l."
"14.4945971";"Fuel used price (total)";"165.12479869126";"€"
"14.6127138";"Engine fuel rate";"0";"l/h"
"14.6127138";"Fuel level input";"24.5";"l"
"14.6127138";"Vehicle speed";"15";"km/h"
"14.6138832";"Calculated instant fuel consumption";"0";"l/100km"
"14.614047";"Distance travelled";"0.00510832797222222";"km"
"14.6142442";"Vehicle acceleration";"0";"m_sec2"
"14.6150256";"Calculated instant fuel rate";"0";"l/h"
"14.6163632";"Average speed";"16.1759892300696";"km/h"
"14.6165691";"Distance travelled (total)";"2997.76290175672";"km"
"14.6170685";"Fuel used";"0.000275804101332024";"l"
"14.6171964";"Instant engine power (based on fuel consumption)";"0";"hp"
"14.6179726";"Average fuel consumption (total)";"4.26997478155106";"l/100km"
"14.6181363";"Average fuel consumption";"5.39910716053816";"l/100km"
"14.6182635";"Fuel used (total)";"128.003719915705";"l"
"14.6183879";"Fuel used price";"0.00035578729071831";"€"
"14.6188229";"Distance to empty";"573.773880488831";"km"
"14.618997";"Average fuel consumption km/l.";"18.5215808885765";"km/l."
"14.6196751";"Fuel used price (total)";"165.12479869126";"€"
"14.7235668";"Engine fuel rate";"0";"l/h"
"14.7235668";"Fuel level input";"24.5";"l"
"14.7235668";"Vehicle speed";"14";"km/h"
"14.725621";"Calculated instant fuel consumption";"0";"l/100km"
"14.7261127";"Distance travelled";"0.00554410286111111";"km"
"14.7265422";"Vehicle acceleration";"-1.18204818690357";"m_sec2"
"14.7280514";"Calculated instant fuel rate";"0";"l/h"
"14.7302288";"Average speed";"15.9582711074331";"km/h"
"14.7307003";"Distance travelled (total)";"2997.76333753161";"km"
"14.7317508";"Fuel used";"0.000275804101332024";"l"
"14.7320194";"Instant engine power (based on fuel consumption)";"0";"hp"
"14.7335812";"Average fuel consumption (total)";"4.26997416083903";"l/100km"
"14.7341619";"Average fuel consumption";"4.97472915350544";"l/100km"
"14.7344328";"Fuel used (total)";"128.003719915705";"l"
"14.7347004";"Fuel used price";"0.00035578729071831";"€"
"14.7351413";"Distance to empty";"573.773963896444";"km"
"14.7361576";"Average fuel consumption km/l.";"20.1015968737786";"km/l."
"14.7375743";"Fuel used price (total)";"165.12479869126";"€"
"14.8235297";"Engine fuel rate";"0";"l/h"
"14.8235297";"Fuel level input";"24.5";"l"
"14.8235297";"Vehicle speed";"15";"km/h"
"14.8255255";"Calculated instant fuel consumption";"0";"l/100km"
"14.8259329";"Distance travelled";"0.00596000036111111";"km"
"14.8263235";"Vehicle acceleration";"2.78261953577002";"m_sec2"
"14.8278212";"Calculated instant fuel rate";"0";"l/h"
